Model,Parameters (M),Inference (ms),Best Val Acc (%),Test Acc (%),Precision (%),Recall (%),F1-Score (%)
swin_tiny_patch4_window7_224,27.52243,12.193958759307861,58.48341232227488,58.95734597156398,59.88675903572006,58.95588489457311,59.25045258497968
vit_small_patch16_224,21.667204,5.780088901519775,64.92890995260663,61.8957345971564,61.98854242424069,61.88248934209011,60.60997042107971
deit_small_patch16_224,21.667204,5.430943965911865,65.30805687203791,61.99052132701422,62.69577609569199,61.987988247493945,61.88951015722526
twins_pcpvt_small,23.595268,12.874279022216797,84.26540284360189,81.23222748815166,81.0403839273946,81.22299516073281,81.0894658818272
