Model,Parameters (M),Inference (ms),Best Val Acc (%),Test Acc (%),Precision (%),Recall (%),F1-Score (%)
convnext_tiny,27.823204,6.334080696105957,49.85781990521327,50.71090047393365,54.52515683035956,50.70464627261205,51.012324821744
efficientnet_b3,10.70238,14.595670700073242,73.36492890995261,69.28909952606635,70.50893654020562,69.28037504320774,69.5102439530881
resnet50,23.516228,6.824939250946045,87.67772511848341,88.24644549763033,88.34255711650347,88.23849233782694,88.20235920448329
resnext50_32x4d,22.9881,6.571085453033447,87.96208530805687,89.0995260663507,89.38527415946712,89.09364558128817,89.0608244807778
